Video Time,Neutral,Happy,Sad,Angry,Surprised,Scared,Disgusted
00:00.0,0.8017891,0.3004623,0.06843493,0.000636973,0.004545216,0.000651684,0.000072063
00:00.1,0.8421784,0.1253172,0.09974457,0.001086344,0.005283363,0.000782045,0.000101769
00:00.1,0.8389196,0.1279606,0.0998446,0.001056071,0.005311396,0.000818493,0.000103743
00:00.2,0.8422429,0.1257751,0.09734099,0.001039643,0.005442399,0.000847198,0.000103666
00:00.2,0.8464262,0.1169603,0.09781896,0.001055657,0.005619861,0.000884503,0.000110359
00:00.3,0.8485993,0.1102386,0.0956365,0.001086661,0.005775711,0.000924367,0.000112956
00:00.3,0.8518048,0.1038498,0.09354907,0.001129292,0.00590798,0.000934109,0.000114226
00:00.4,0.859136,0.09462838,0.08988683,0.001197019,0.006506274,0.000967393,0.000111873
00:00.4,0.8660825,0.08627287,0.0853383,0.001291289,0.007096186,0.000966308,0.000105853
00:00.5,0.8732702,0.07865553,0.08091494,0.001387458,0.007494489,0.000950579,0.000100544
00:00.5,0.8781823,0.07337612,0.07702263,0.001386753,0.007789375,0.000961595,0.000096968
00:00.6,0.8831542,0.06711239,0.07334199,0.001455435,0.008210187,0.00097763,0.000093179
00:00.6,0.8890567,0.06091871,0.06959742,0.001503852,0.00888421,0.001005511,0.000090851
00:00.7,0.8937658,0.05680722,0.06619403,0.001512075,0.009155441,0.001001975,0.000087179
00:00.7,0.8983315,0.05176776,0.06407911,0.001547961,0.009352115,0.001011672,0.000083803
00:00.8,0.9011504,0.04726162,0.06330232,0.001567445,0.00950414,0.001065284,0.000079963
00:00.8,0.9022417,0.04446751,0.06211854,0.00154262,0.009535939,0.001069542,0.000075779
00:00.9,0.9003286,0.04137946,0.06298727,0.001505124,0.009178272,0.001127563,0.000075338
00:00.9,0.8997074,0.03914916,0.06487074,0.001431834,0.008791984,0.001146578,0.000076963
00:01.0,0.9000167,0.03690672,0.06706207,0.001359624,0.008390737,0.001190151,0.000078921
00:01.0,0.898074,0.03465287,0.07009224,0.001288005,0.008035555,0.001260648,0.000079356
00:01.1,0.9000115,0.03234811,0.07166979,0.001226383,0.007785937,0.001308037,0.000079129
00:01.1,0.8964537,0.03133635,0.07478277,0.001146496,0.007388228,0.001413972,0.000077405
00:01.2,0.8974994,0.02950965,0.07693279,0.001088646,0.007108656,0.001476854,0.000077658
00:01.2,0.895897,0.02830094,0.07901387,0.001032145,0.006857143,0.001584648,0.000075785
00:01.3,0.8932518,0.02810795,0.08067469,0.000969473,0.006441264,0.001621504,0.000075685
00:01.3,0.8593288,0.03739633,0.08331728,0.000855793,0.005939442,0.001669317,0.000078655
00:01.4,0.8437947,0.04155334,0.09084969,0.000761061,0.005470324,0.00177916,0.000086362
00:01.4,0.8458895,0.04187305,0.0895644,0.000700381,0.005406179,0.001818911,0.000089961
00:01.5,0.8497322,0.04206581,0.08914144,0.000649196,0.005334584,0.001846112,0.000093884
00:01.5,0.8527147,0.04290915,0.08657655,0.000611657,0.005337585,0.001848738,0.000094294
00:01.6,0.8585282,0.04131869,0.08436033,0.000587126,0.00545441,0.001859209,0.000095107
00:01.6,0.860578,0.03978613,0.08289246,0.000579844,0.005513049,0.001930593,0.000092415
