Video analysis detailed log

Face Model:	General
Calibration:	-
Start time:	11/21/2017 11:39:47.805
Filename:	D:\Testings\Movie Samples & FR Analysis Logs - CK\2\4.avi
Frame rate:	14.00

Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Gender	Age	Beard	Moustache	Glasses	Ethnicity	Quality	Mouth	Left Eye	Right Eye	Left Eyebrow	Right Eyebrow	Identity	Stimulus	Event Marker
00:00:00.000	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	No Stimulus	No Event Marker
00:00:00.071	0.962045800	0.000123143	0.004345318	0.004730310	0.000077259	0.000005255	0.006443458	Female	25 - 35	None	None	No	Caucasian	0.943570300	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	NO IDENTIFICATION	No Stimulus	No Event Marker
00:00:00.142	0.962409600	0.000122586	0.004275601	0.004684525	0.000078138	0.000019521	0.006149096	Female	25 - 35	None	None	No	Caucasian	0.944448500	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	NO IDENTIFICATION	No Stimulus	No Event Marker
00:00:00.214	0.962615400	0.000120883	0.004221501	0.004627422	0.000077185	0.000154843	0.005826858	Female	25 - 35	None	None	No	Caucasian	0.945563800	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	NO IDENTIFICATION	No Stimulus	No Event Marker
00:00:00.285	0.963007000	0.000118909	0.004090974	0.004511584	0.000077621	0.000310050	0.005457372	Female	25 - 35	None	None	No	Caucasian	0.944558500	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	NO IDENTIFICATION	No Stimulus	No Event Marker
00:00:00.357	0.963576900	0.000115363	0.003871515	0.004330109	0.000081230	0.000478870	0.005098005	Female	25 - 35	None	None	No	Caucasian	0.943488900	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00:00.428	0.964085600	0.000111519	0.003608356	0.004173321	0.000083706	0.000559939	0.004661282	Female	25 - 35	None	None	No	Caucasian	0.943345500	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00:00.500	0.964760200	0.000108701	0.003331301	0.004063535	0.000086117	0.000583669	0.004194795	Female	25 - 35	None	None	No	Caucasian	0.941552500	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00:00.571	0.965479600	0.000107267	0.003060163	0.003961652	0.000089724	0.000571203	0.003724796	Female	25 - 35	None	None	No	Caucasian	0.943161400	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00:00.642	0.966332300	0.000106125	0.002802699	0.003854943	0.000092912	0.000537400	0.003284723	Female	25 - 35	None	None	No	Caucasian	0.942565300	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00:00.714	0.967169500	0.000104065	0.002565086	0.003757642	0.000095919	0.000492190	0.002876984	Female	25 - 35	None	None	No	Caucasian	0.944242600	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00:00.785	0.967940800	0.000101455	0.002345431	0.003668612	0.000096095	0.000442145	0.002737582	Female	25 - 35	None	None	No	Caucasian	0.943415900	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00:00.857	0.968797000	0.000100042	0.002144357	0.003565605	0.000097443	0.000391502	0.002537424	Female	25 - 35	None	None	No	Caucasian	0.943710900	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00:00.928	0.969524200	0.000098793	0.001961197	0.003454351	0.000098351	0.000419465	0.002509007	Female	25 - 35	None	None	No	Caucasian	0.944792600	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00:01.000	0.970485900	0.000096327	0.001810257	0.003237453	0.000107963	0.000418700	0.002402083	Female	25 - 35	None	None	No	Caucasian	0.944168500	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00:01.071	0.971444400	0.000094556	0.001682362	0.003065746	0.000117498	0.000427685	0.002352519	Female	25 - 35	None	None	No	Caucasian	0.944487100	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00:01.142	0.972124200	0.000092822	0.001573466	0.002965803	0.000124242	0.000611952	0.002502918	Female	25 - 35	None	None	No	Caucasian	0.943391400	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00:01.214	0.972716000	0.000091529	0.001478827	0.002892372	0.000127406	0.000696572	0.002659537	Female	25 - 35	None	None	No	Caucasian	0.943983000	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00:01.285	0.973380900	0.000092188	0.001406568	0.002802386	0.000131593	0.000716391	0.002715237	Female	25 - 35	None	None	No	Caucasian	0.944178000	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00:01.357	0.974066400	0.000093888	0.001341344	0.002693153	0.000138642	0.001044761	0.002815007	Female	25 - 35	None	None	No	Caucasian	0.944332100	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
