Video analysis detailed log																						
																						
Face Model:	General																					
Calibration:	-																					
Start time:	11/21/2017 11:39:47.805																					
Filename:	D:\Testings\Movie Samples & FR Analysis Logs - CK\2\4.avi																					
Frame rate:	14																					
																						
Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Gender	Age	Beard	Moustache	Glasses	Ethnicity	Quality	Mouth	Left Eye	Right Eye	Left Eyebrow	Right Eyebrow	Identity	Stimulus	Event Marker
00:00.0	0.8853692	0.02313344	0.02650419	0.05392312	0.01021664	0.01347822	0.03655709	Female	20 - 30	None	None	No	Caucasian	0.9613587	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	NO IDENTIFICATION	No Stimulus	No Event Marker
00:00.0	0.8859114	0.02315019	0.02644772	0.05363816	0.01021319	0.01336482	0.03625155	Female	20 - 30	None	None	No	Caucasian	0.9596595	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	NO IDENTIFICATION	No Stimulus	No Event Marker
00:00.1	0.8868387	0.02318946	0.02637518	0.05315183	0.0102009	0.0131662	0.03574656	Female	20 - 30	None	None	No	Caucasian	0.9617726	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	NO IDENTIFICATION	No Stimulus	No Event Marker
00:00.1	0.8879347	0.02323839	0.02628327	0.05253652	0.01023323	0.01297167	0.03502592	Female	20 - 30	None	None	No	Caucasian	0.9607519	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	NO IDENTIFICATION	No Stimulus	No Event Marker
00:00.2	0.8890101	0.02330345	0.02622131	0.05184626	0.0103035	0.01282421	0.03421513	Female	20 - 30	None	None	No	Caucasian	0.9620827	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.2	0.8900431	0.02342095	0.02616195	0.05118374	0.0103789	0.01267376	0.03333482	Female	20 - 30	None	None	No	Caucasian	0.9601079	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.2	0.891033	0.02355137	0.02612006	0.05052439	0.01051509	0.01255117	0.03240573	Female	20 - 30	None	None	No	Caucasian	0.9605313	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.3	0.8919175	0.02362234	0.02615691	0.04997966	0.01068824	0.01242708	0.03135864	Female	20 - 30	None	None	No	Caucasian	0.9590781	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.3	0.8926802	0.02367321	0.0261513	0.04964921	0.01084068	0.01230056	0.03035956	Female	20 - 30	None	None	No	Caucasian	0.9586515	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.4	0.8935641	0.02373162	0.0261313	0.04926926	0.0109682	0.01218657	0.02937483	Female	20 - 30	None	None	No	Caucasian	0.9600282	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.4	0.8944731	0.02380675	0.02610049	0.04887784	0.01108842	0.01205672	0.02840558	Female	20 - 30	None	None	No	Caucasian	0.9578872	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.4	0.894994	0.02387203	0.02608188	0.0486454	0.0112511	0.01200901	0.02755153	Female	25 - 35	None	None	No	Caucasian	0.9602316	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.5	0.8954946	0.02396185	0.02604706	0.0484202	0.01139741	0.01194857	0.02673761	Female	25 - 35	None	None	No	Caucasian	0.9577578	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.5	0.8958963	0.02403309	0.02606932	0.04825052	0.01154827	0.01191205	0.02591564	Female	25 - 35	None	None	No	Caucasian	0.958866	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.6	0.8964824	0.02407965	0.02607404	0.04801261	0.01169221	0.01184645	0.02507244	Female	25 - 35	None	None	No	Caucasian	0.9589908	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
