Video analysis detailed log																						
																						
Face Model:	General																					
Calibration:	-																					
Start time:	55:04.8																					
Filename:	C:\Users\owner\Desktop\New folder (2)\7\S001-007.avi																					
Frame rate:	25																					
																						
Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Gender	Age	Beard	Moustache	Glasses	Ethnicity	Quality	Mouth	Left Eye	Right Eye	Left Eyebrow	Right Eyebrow	Identity	Stimulus	Event Marker
00:00.0	0.001	0.06307262	0.02980561	0.08287223	0.007931927	0.009134361	0.02044475	Female	25 - 35	None	None	No	Caucasian	0.9372176	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	NO IDENTIFICATION	No Stimulus	No Event Marker
00:00.0	0.001	0.06313729	0.0299094	0.08320228	0.007989487	0.009242685	0.02046708	Female	25 - 35	None	None	No	Caucasian	0.9449726	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	NO IDENTIFICATION	No Stimulus	No Event Marker
00:00.1	0.001	0.06361203	0.03001433	0.08371895	0.008040841	0.009368704	0.02045185	Female	25 - 35	None	None	No	Caucasian	0.9313378	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	NO IDENTIFICATION	No Stimulus	No Event Marker
00:00.1	0.001	0.06423763	0.03002897	0.08434439	0.008091806	0.009479889	0.02032719	Female	25 - 35	None	None	No	Caucasian	0.9207349	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	NO IDENTIFICATION	No Stimulus	No Event Marker
00:00.2	0.001	0.06516579	0.03002934	0.08521052	0.008201597	0.009700779	0.02012905	Female	25 - 35	None	None	No	Caucasian	0.9196216	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.2	0.001	0.06614126	0.03000145	0.08616066	0.008353205	0.01004312	0.0199143	Female	25 - 35	None	None	No	Caucasian	0.9218902	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.2	0.001	0.06711537	0.02988812	0.08709054	0.008516894	0.01036458	0.01966194	Female	25 - 35	None	None	No	Caucasian	0.926578	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.3	0.001	0.06817601	0.02974254	0.08795685	0.008721467	0.01077005	0.01936471	Female	25 - 35	None	None	No	Caucasian	0.9283307	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.3	0.001	0.06962504	0.02952746	0.08871346	0.008928581	0.01124803	0.01910134	Female	25 - 35	None	None	No	Caucasian	0.9229499	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.4	0.001	0.07119143	0.02924991	0.08935299	0.009164252	0.01168841	0.01887762	Female	25 - 35	None	None	No	Caucasian	0.9179522	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
