words,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
abhorrence,0.5865,0.2399,0.1311,0.0804,-0.0612,-0.0452,0.0719,0.0461,-0.1761,0.161,0.0925,-0.0029,0.1044,-0.0478,-0.1447,0.0579,-0.0052,0.1055,0.0485,-0.0297,0.058,-0.0649,-0.0351,0.0302,-0.0648
abnormality,0.1954,-0.021,0.0418,-0.1714,-0.049,-0.0595,-0.0881,-0.2372,-0.1415,-0.21,-0.2578,0.0509,0.044,-0.0841,-0.0492,-0.0049,0.0553,0.101,-0.0144,-0.2261,0.0478,0.0006,0.0178,0.0159,0.0047
acceptance,-0.5971,-0.1962,0.2437,0.1649,-0.0564,0.0588,-0.0029,0.0898,-0.0081,0.1372,-0.101,0.0049,0.0585,-0.0323,-0.1196,0.0538,0.0344,0.0004,0.047,0.0064,0.0115,0.0167,0.0738,0.0374,-0.0406
acknowledgment,-0.5596,-0.2203,0.2487,-0.1924,0.1145,-0.1122,-0.0825,0.2487,-0.0329,-0.0749,0.049,-0.0207,-0.0471,-0.1128,-0.0015,-0.0581,0.0336,-0.0521,0.0281,0.0785,-0.075,0.0885,-0.0025,-0.0046,0.0074
activeness,-0.5054,0.2441,0.0021,-0.0047,0.0035,-0.1106,0.1728,-0.2064,0.0208,-0.0867,-0.1009,-0.1861,-0.0083,-0.0822,0.0596,0.0932,0.1934,-0.1156,0.0179,-0.0442,0.0076,0.0432,-0.0061,-0.0198,0.074
adamancy,-0.1745,0.1032,0.0739,0.1203,0.0361,-0.0072,0.1927,0.1891,0.2595,0.0036,-0.0405,0.2047,0.1151,-0.1043,0.0538,0.0476,-0.0667,-0.1564,-0.0737,-0.0806,-0.1481,0.0112,-0.0009,-0.1391,-0.0494
admiration,-0.7336,0.0545,0.1424,-0.0253,-0.1396,0.1091,-0.009,0.1251,0.1053,-0.0873,0.0629,-0.1331,0.0646,-0.0289,-0.0665,-0.0611,0.0466,-0.0394,0.0503,-0.0192,0.0483,-0.0579,-0.049,-0.0763,0.0566
aggravation,0.4578,0.2376,-0.1006,-0.0183,-0.0146,-0.0384,0.1325,-0.1013,-0.1375,-0.0155,-0.1014,-0.0673,0.1345,-0.0148,-0.0706,-0.0311,-0.0169,-0.0944,0.1025,0.0618,0.0046,-0.0075,-0.0732,0.0285,0.0738
aggrievement,0.4255,0.0129,0.0044,0.2403,-0.2176,-0.0562,0.002,0.0192,-0.1729,0.0109,0.0371,-0.0973,-0.0911,-0.0885,-0.002,0.1214,-0.1072,-0.0039,-0.0495,0.0702,-0.0632,-0.009,0.0667,0.0576,0.1076
aghast,0.3885,0.2085,0.1323,-0.1748,0.1214,0.0298,0.0344,-0.1292,-0.1548,-0.0764,-0.1333,0.0679,0.1915,0.0185,0.0977,-0.2183,-0.0535,0.0218,-0.0312,-0.035,-0.0639,0.0406,-0.1538,0.0674,0.0487
