words,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25
abnormality,0.199,0.013,0.153,0.179,0.009,0,0.205,0.052,-0.12,0.024,-0.028,-0.257,-0.077,0.067,0.095,0.191,-0.023,0.03,0.06,-0.177,0.006,-0.156,-0.002,0.064,0.02
acceptance,-0.593,-0.257,-0.054,0.103,0.035,0.011,0.135,-0.046,0.114,-0.096,-0.058,0.097,0.095,0.129,-0.058,0.024,-0.14,-0.053,-0.053,-0.025,-0.015,-0.063,-0.037,0.021,0.046
acknowledgment,-0.549,-0.3,0.187,0.013,0.113,-0.213,0.04,-0.102,0.087,0.183,0.039,-0.053,0.018,-0.001,-0.094,-0.106,0.019,0.085,0.048,0.07,0.04,-0.021,-0.046,-0.103,0.027
admiration,-0.723,0.107,0.073,0.134,0.107,0.104,-0.088,-0.035,0.13,0.061,-0.066,-0.021,0.107,0.02,-0.008,0.013,-0.034,0.103,-0.101,-0.097,0.033,0.058,0.011,0,-0.079
aggravation,0.458,0.213,0.004,-0.124,-0.086,0.013,0.133,-0.004,-0.211,-0.069,-0.045,-0.055,0.114,0.066,-0.033,0.003,-0.016,0.025,-0.13,0.012,0.017,-0.053,0.09,-0.06,-0.012
aghast,0.387,0.23,0.116,0.14,0.161,-0.047,-0.023,0.09,-0.203,-0.009,-0.237,-0.062,0.031,-0.014,0.128,-0.082,-0.11,0.014,0.028,-0.11,-0.034,-0.014,-0.009,-0.198,-0.049
agitation,0.444,0.192,-0.015,-0.014,-0.135,-0.161,0.008,-0.109,-0.128,-0.08,-0.11,0.088,-0.155,-0.028,-0.023,0.066,-0.175,0.01,-0.001,0.107,-0.077,0.079,-0.11,0.071,-0.044
agony,0.639,0.029,-0.066,-0.015,0.112,-0.04,-0.133,-0.119,0.098,-0.044,0.071,-0.155,0.013,0.095,-0.09,-0.038,0.021,0.143,0.017,0.042,-0.002,-0.005,0,0.104,0.062
agreement,-0.552,-0.152,-0.026,0.245,-0.016,0.069,-0.007,0.05,0.127,0.083,0.136,-0.06,-0.021,-0.005,0.007,0.057,-0.019,-0.061,-0.134,-0.06,-0.021,-0.068,0.044,-0.068,-0.028
alarm,0.176,0.161,0.213,0.211,-0.222,0.147,-0.065,0.099,-0.117,-0.081,-0.028,0.026,-0.086,0.018,0.143,0.157,0.047,-0.078,-0.186,0.068,-0.009,0.243,-0.194,-0.062,-0.004
alertness,-0.397,0.029,0.084,-0.284,0.038,0.064,0.18,-0.107,-0.136,0.123,0.054,0.079,-0.081,0.095,-0.096,0.044,0.195,0.004,0.192,0.036,-0.114,-0.035,-0.096,0.071,-0.031
amazement,-0.682,0.243,0.279,-0.151,0.076,-0.008,0.154,-0.045,-0.063,0.06,0.089,-0.054,0.03,-0.002,-0.028,-0.031,0.016,-0.011,0.055,0.01,0.047,-0.017,0.075,-0.007,0.025
ambivalence,-0.054,-0.171,-0.007,0.047,-0.113,0.097,0.014,-0.032,0.071,0.214,0.183,-0.043,-0.025,-0.032,-0.028,0.038,-0.063,-0.092,0.026,-0.08,-0.02,0.008,-0.091,0.207,-0.145
ambush,0.373,0.475,0.086,0.153,-0.122,-0.044,0.011,0.187,-0.172,-0.103,0.219,0.08,-0.046,0.021,-0.027,-0.01,0.027,0.084,-0.006,-0.036,-0.06,-0.019,0.039,0.059,-0.035
amiss,0.205,-0.037,0.201,-0.147,-0.015,0.067,-0.127,0.037,-0.136,-0.073,0.142,0.024,-0.147,0.023,-0.068,-0.015,0.163,0.145,0.062,0.057,0.066,-0.051,0.201,0.027,-0.02
amusement,-0.699,0.267,-0.045,-0.141,0.117,-0.062,-0.09,-0.021,-0.029,-0.051,-0.005,-0.091,0.018,-0.022,-0.083,-0.009,-0.059,-0.085,0.038,-0.006,-0.017,-0.047,-0.003,-0.01,-0.053
anger,0.578,0.302,-0.161,0.042,-0.009,0.046,0.017,0.066,0.023,-0.073,0.005,0.013,0.036,-0.079,-0.098,-0.01,0.017,0.09,-0.056,-0.003,-0.04,0.082,-0.063,0.019,-0.024
anguish,0.608,-0.15,0.029,0.088,0.102,0.23,-0.075,-0.1,0.017,-0.003,-0.004,-0.086,-0.184,-0.146,0.05,0.014,-0.07,-0.152,0.012,0.054,-0.069,-0.004,0.005,0.088,0.039
annoyance,0.414,0.056,-0.017,0.018,0.047,0.024,0.087,-0.09,0.08,0.18,-0.048,-0.095,-0.112,-0.053,0.168,0.08,-0.016,0.107,0.029,-0.007,0.096,-0.06,0.16,-0.089,0.02
anticipation,-0.417,0.138,0.188,0.146,-0.021,0.052,-0.001,0.238,-0.166,-0.132,0.014,0.09,-0.05,0.131,-0.013,0.125,0.125,-0.064,0.168,-0.005,0.062,-0.005,-0.03,-0.013,0.019
anxious,0.268,0.211,0.307,-0.053,-0.069,0.015,-0.063,0.01,-0.126,0.017,-0.01,-0.035,-0.022,0.123,-0.161,0.071,0.027,0.098,0.03,-0.07,0.079,0.093,-0.13,-0.118,0.148
apathy,0.113,-0.263,-0.168,0.16,-0.134,0.095,-0.166,-0.073,0.055,0.155,0.023,0.169,-0.016,0.1,-0.06,0.041,0.077,0.008,0.141,-0.045,-0.066,-0.018,0.087,0.092,0.04
appeasement,-0.427,-0.281,-0.227,0.177,-0.197,-0.117,0.082,0.136,0.026,-0.019,0.059,0.092,-0.052,-0.024,-0.037,-0.021,-0.154,-0.022,-0.096,-0.072,-0.051,-0.012,-0.019,0.009,-0.014
apprehension,0.241,-0.164,0.174,0.208,0.245,-0.038,-0.109,-0.151,-0.042,-0.178,-0.214,-0.099,-0.046,0.123,0.108,0.135,-0.013,-0.03,0.031,-0.007,-0.043,0.104,-0.08,0.081,-0.045
arousal,-0.52,0.24,-0.074,-0.277,-0.064,0.146,-0.031,-0.012,-0.08,-0.07,-0.002,0.117,0.07,0.029,-0.097,-0.01,0.096,-0.033,0.027,-0.025,0.051,0.083,0.032,0.039,0.023
arrogance,0.253,0.183,-0.294,-0.078,0.05,-0.134,0.168,-0.124,-0.025,0.066,-0.027,0.094,0.081,0.035,0.03,-0.056,0.079,-0.066,-0.156,-0.098,0.011,0.054,-0.071,-0.065,0.032
assured,-0.65,-0.011,0.129,0.242,-0.102,0.15,0.041,-0.079,0.006,0.075,0.091,0.007,0.042,-0.019,0.062,-0.022,0.037,0.043,0.009,0.038,0.012,-0.06,0.023,-0.108,-0.022
astonishment,-0.489,0.271,0.309,-0.21,0.015,0.144,-0.081,-0.045,0.007,-0.042,-0.066,-0.099,-0.001,0.048,0.016,0.079,0.018,-0.126,-0.071,0.048,-0.04,-0.051,0.108,0.018,-0.007
astounded,-0.454,0.267,0.365,-0.014,0.051,0.019,-0.182,-0.035,-0.196,0.062,-0.054,-0.034,-0.014,-0.082,-0.114,-0.006,-0.081,0.055,0.036,-0.023,-0.015,0.013,0.007,-0.064,-0.025
attack,0.481,0.414,-0.013,0.1,0.039,0.007,0.16,0.106,0.065,0.056,-0.047,-0.05,0.117,0.084,-0.003,0.049,0.015,-0.079,0.047,0.062,0.072,-0.025,-0.057,-0.029,0.05
attentiveness,-0.598,0.002,0.206,-0.181,-0.129,-0.028,0.01,0.086,-0.011,0.173,-0.076,0.032,-0.062,-0.108,-0.079,-0.022,0.038,0.06,0.084,-0.124,0.01,0.037,-0.033,0.04,0.094
attraction,-0.677,0.143,0.005,0.041,0.111,-0.087,0.101,0,-0.021,0.057,0.101,-0.147,0.048,0.036,-0.112,-0.109,-0.072,-0.01,-0.009,-0.04,-0.128,-0.055,-0.011,0.049,-0.04
aversion,0.397,0.059,-0.068,-0.092,0.156,0.043,0.022,0.155,-0.18,0.136,-0.172,-0.106,-0.057,0.055,0.004,-0.099,-0.071,-0.006,0.023,-0.18,0.025,-0.163,-0.066,0.082,-0.036
awareness,-0.509,-0.05,0.206,-0.059,-0.158,0.134,0.08,-0.035,-0.01,-0.042,-0.062,0.108,-0.006,0.11,0.114,-0.157,-0.078,0.055,0.065,0.092,0.034,0.013,-0.021,-0.086,-0.098
awe,-0.684,0.127,0.277,-0.141,0.1,0.058,0.045,-0.116,0.108,0.019,-0.122,0.018,0.05,0.04,-0.008,-0.049,0.046,0.064,-0.087,0.003,-0.054,-0.022,0.01,-0.007,-0.031
awfulness,0.548,0.187,-0.058,-0.059,0.045,0.119,-0.052,-0.055,-0.033,0.011,-0.031,-0.009,0.081,0.121,0.164,0.087,0.16,0.142,0.085,-0.132,0.053,0.047,0.044,0.02,0
bad,0.605,0.155,0.027,0.107,0.035,0.111,0.017,-0.104,0.048,0.004,0.066,-0.019,-0.02,0.032,0.001,-0.062,-0.143,-0.021,0.048,-0.009,0.171,0.038,0.114,0.021,0.085
baffled,0.101,0.065,0.034,0.162,0.027,-0.179,-0.041,-0.008,-0.109,0.093,0.067,0.084,-0.16,0.063,-0.146,-0.11,0.089,-0.266,-0.149,0.147,0.101,0.044,0.007,0.046,0.002
belligerence,0.59,0.242,-0.13,-0.102,-0.122,-0.088,0.106,-0.074,-0.014,-0.022,-0.074,0.116,0.017,0.227,-0.039,0.003,0,-0.034,0.133,0.01,0.018,-0.024,-0.033,-0.037,0.117
bemused,-0.192,0.188,0.316,0.036,0.128,-0.187,-0.279,-0.053,-0.03,-0.103,-0.106,-0.035,-0.003,-0.058,0.066,-0.062,0.102,0.019,-0.015,-0.036,0.031,-0.082,0.003,0.076,0.033
bewilderment,0.004,0.152,0.255,0.127,-0.053,0.102,0.084,0.013,-0.134,-0.138,-0.072,-0.014,-0.095,-0.129,-0.05,-0.036,-0.017,0.177,0.019,-0.043,-0.145,-0.071,0.038,0.138,0.042
bitterness,0.544,0.024,-0.218,-0.052,0.056,-0.079,0.053,0.059,-0.096,-0.04,0.004,0.001,0,-0.109,0.022,0.101,0.155,0.049,0.046,0.027,0.202,0.061,0.02,0.039,0.132
blank,0.033,-0.403,-0.029,0.017,-0.175,-0.072,-0.178,0.05,-0.045,0.149,-0.023,0.145,0.058,0.048,-0.054,0.105,-0.176,0.135,-0.057,0.02,-0.084,0.005,0.148,0.023,0.093
blessedness,-0.789,0.018,-0.002,0.006,-0.003,-0.028,0.025,0.056,0.018,-0.104,-0.018,-0.046,0.007,0.019,-0.023,0.151,-0.056,0.041,-0.128,-0.022,0.188,-0.194,0.137,-0.2,0.051
