words,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49
abnormality,0.14634,0.48105,-0.61621,1.644,-0.33405,0.37889,0.64371,-1.3372,0.3602,-0.76163,0.042055,-0.19036,0.16727,0.43111,0.47963,-0.22649,1.2983,0.13146,1.0764,-0.24204,-0.10098,0.43696,-0.056812,-0.0038968,0.48559,1.2443,-1.2919,-0.77536,-0.38855,0.10527,0.67726,-0.30914,-0.038043,-1.6922,0.18332,-1.0264,-0.56076,0.39055,-0.143,-0.055811,1.2333,0.35234,-0.24991,-0.76936,-0.70095,0.61055,-0.64233,-0.30251,0.72901,-0.39322
acceptance,0.60816,0.55504,0.81198,1.0303,0.75684,0.11576,1.7617,-0.8836,-1.2712,-0.33165,0.41662,-0.82082,-1.6498,-0.033987,0.57279,0.75472,-0.38243,0.66882,-0.013874,-0.022564,0.12842,0.14154,-0.051049,0.48556,0.68363,1.3131,1.1707,0.11789,0.0089538,-0.059501,0.17508,-1.1652,-0.14614,-1.1114,0.11309,0.17247,-0.015338,0.657,-0.42335,-0.50052,1.2028,-0.46801,0.16661,-0.87502,0.44719,-0.94993,-0.039186,-0.77671,0.26088,0.19186
acknowledgment,-0.10892,-0.22963,-0.43604,0.72452,0.8331,-0.67639,0.13239,-1.235,-0.42564,-0.55705,0.20895,-0.33002,0.030203,-0.42586,-0.1476,0.9723,0.45514,-0.37482,0.33158,-0.71074,-0.41693,0.51063,-0.38034,0.035586,-0.37908,1.2567,0.68597,0.1346,-0.27022,-0.54635,1.1833,-0.19889,0.61037,-0.88271,-0.015025,0.032387,-0.88989,0.35121,-0.83128,0.2817,1.7689,0.07434,1.0104,-0.46406,-0.21032,0.30319,0.13576,0.052114,0.52292,-0.026882
admiration,0.059934,0.16712,0.2765,1.065,-0.13346,0.61944,-0.011442,-1.51,-1.1856,0.01468,-0.34223,-0.14493,-1.2078,-0.73234,0.64979,0.88866,0.60398,-0.66184,0.046266,-0.73228,0.43094,-0.34102,-0.085316,0.067551,0.12073,1.2817,0.46595,0.020568,-0.31232,-0.13457,-0.16841,-0.7594,-0.095808,0.015853,0.51047,0.15229,-0.0066316,0.044067,-0.37611,0.19113,1.0089,-1.329,0.30009,-0.90226,-0.57399,0.30434,-0.1361,0.15351,1.5406,-0.62137
aggravation,0.060165,0.22407,-0.75735,0.090943,0.46347,0.60356,0.012693,-1.5461,0.12959,-0.25801,0.6143,0.45391,0.062076,-0.086485,0.67406,0.52474,0.89793,0.7979,0.18966,-0.26548,0.69829,1.2381,-0.041799,0.60632,-0.40185,1.1369,0.11147,-0.41225,-0.44871,-0.079252,0.45769,-0.81212,0.15409,-0.47472,-1.3819,-0.32084,-0.71939,0.4902,-0.22673,-0.39415,1.3199,-0.29419,0.96366,-0.72947,0.20403,0.12539,-0.46186,0.46573,0.78953,0.30396
aghast,0.049622,0.3239,0.73664,0.41256,-0.41974,-0.43935,-0.87969,-0.15272,-0.11944,-1.2605,0.38982,-0.29341,0.27393,-0.88517,-0.18932,0.0055529,0.51809,-0.64482,0.31721,-0.49494,0.52107,-0.46968,-0.44435,-0.46604,-0.17322,1.276,-0.51906,-0.29812,-0.43844,-0.10757,0.71142,0.0061956,0.25592,-0.56194,-0.47453,0.067279,-0.4311,-0.31018,0.77046,0.26559,1.9465,0.86603,0.50983,0.81306,-0.45077,0.45833,0.80797,0.80756,-0.75014,0.18868
agitation,-0.4209,0.49061,-0.35511,0.59601,0.18749,0.34135,0.19791,-0.572,0.18891,-1.0611,-0.13369,-1.3873,-0.40799,-0.16134,0.10227,-0.39234,0.61865,0.10534,0.55716,-0.35787,0.56259,-0.2627,-0.34156,0.93794,0.2842,1.3003,0.39521,0.65703,-0.53716,0.79325,0.92939,-0.33116,0.86926,-1.3385,0.19665,-0.3645,-0.50502,-0.11326,-0.1571,-0.18768,0.5886,-0.54098,0.55219,0.13835,-0.80724,-0.11021,-0.11767,0.052318,0.16909,-0.26071
agony,-0.83942,-0.053627,0.35084,-0.022936,-0.21361,0.073311,0.6576,0.080688,-0.30637,-0.53472,0.60831,-0.63159,-1.5898,-0.12056,-0.32402,0.31445,1.4899,0.24068,-0.31438,-0.55894,-0.39692,0.49098,0.081416,0.49328,0.8582,1.5646,-0.48973,-0.24821,-0.041262,0.57018,-0.054599,-0.86957,0.40336,0.69009,-0.6689,-0.3043,-0.71391,-0.10359,-0.02394,-0.11202,1.1955,-0.021446,0.42238,-0.059154,-0.1971,0.22998,0.73015,0.82341,1.1558,-0.034566
agreement,0.60743,0.30203,-0.16573,0.79999,0.39142,-0.19919,-0.06384,-0.39044,0.60619,-1.1886,1.2912,-0.49259,-2.3694,-0.36459,1.1393,-0.036908,-0.077357,1.0874,-0.015619,-1.2161,0.15258,-0.23155,0.098524,-0.42426,0.2491,1.3165,1.0449,-0.88639,0.36178,0.3218,0.33444,-0.17834,-0.44784,-1.1449,1.3262,-0.12952,0.2012,0.52742,0.061383,-0.054784,0.37266,-0.406,1.8246,-0.8644,0.71337,-0.83496,-0.8761,-0.2398,0.53719,0.25292
alarm,-0.15362,0.78402,-0.34332,0.13992,-0.81449,0.56258,1.137,-0.95125,0.35308,0.56983,0.48059,-0.46533,-2.3287,0.079674,-0.13522,-0.33056,0.55536,-0.31934,-0.092127,-0.15825,-1.3542,0.68083,-0.74602,-0.37928,0.84948,-0.14856,-0.50458,-0.19107,-0.7531,1.2141,-0.86378,-0.0041323,0.085051,-0.91418,0.3889,0.78037,-0.40549,0.26846,0.48383,0.29894,-0.29749,1.4964,-0.62761,-0.26416,0.76255,0.019612,0.16738,-0.65969,0.0055691,0.73234
alertness,-0.83958,-1.0417,0.6225,-1.0374,-0.417,1.2378,1.2073,-1.3061,-1.3769,-1.8096,0.571,-0.28601,-0.76089,1.074,0.39665,0.46406,1.1161,-1.3691,0.81832,-0.89312,-0.79749,0.62759,0.42212,1.0522,-1.3931,0.96885,-0.065327,-0.35233,0.077715,1.2146,0.064153,-0.62756,1.8691,-0.16241,0.59432,0.33522,0.97271,-0.24841,0.78044,0.84665,1.2793,-0.80307,-0.82745,0.44882,0.62768,-0.74755,-0.9666,1.892,-0.012166,-1.0688
amazement,-0.11285,-0.072557,1.5744,0.44335,0.11294,-0.11321,0.36802,-1.497,-0.68117,-0.46374,0.48473,-0.57129,-0.392,-0.491,-0.091654,-0.137,1.2038,-0.20299,0.093108,-0.58959,-0.24034,-0.61015,0.027858,0.15484,-0.016702,1.1996,-0.31898,0.39302,-0.50633,-0.029031,0.52445,-0.20687,0.36183,0.0022583,-0.87873,-0.10605,0.18964,0.035793,0.34937,-0.68785,1.6265,0.26551,0.20011,0.26455,-0.97417,0.62757,0.81669,0.22938,0.76762,0.22784
ambivalence,-0.17175,-0.54467,-0.74526,0.43668,0.44484,0.953,1.1939,-1.6114,-0.25828,-1.113,0.00089892,-0.77583,0.1126,-0.90848,-0.40757,0.79733,0.18349,-0.14149,0.94981,-0.2046,0.051622,0.9902,1.1528,0.069191,-0.37224,0.42463,-0.90214,0.60199,0.16099,0.7849,0.65753,-0.86972,1.2335,-0.22058,-0.61776,0.94681,-0.060434,1.2716,1.3128,-0.58654,0.88182,0.1117,-0.27809,-0.49901,0.060823,0.60667,0.39765,-0.72192,0.19327,1.2434
